name	url	id	slug	picture_url	price	score_general	score_games	score_mobility	weight	power_adapter_power	operating_system_family_name	screen_size_value	screen_resolution_unicode	screen_rr_value	battery_mwh	default_bucket	processor_unicode	processor_f_value	processor_thread_count_name	processor_p_core_count	processor_thread_count	processor_tdp	processor_speed_score	main_gpu_name	main_gpu_speed_score	ram_quantity_value	ram_frequency_value	ram_type_name	sd_capacity_value	sd_rpm_value	sd_drive_type_name	storage_drives_count	gpus_count
ASUS Zenbook S 13 OLED UX5304MA-NQ104W [90NB12V3-M005P0]	https://publicapi.solotodo.com/products/245518/	245518	asus-zenbook-s-13-oled-ux5304ma-nq104w-90nb12v3-m005p0	https://media.solotodo.com/media/products/1918643_picture_1716918548.png	1099990	315	202	735	1000	65	Windows 11	13.3	2880x1800	60	63000	1918643	Intel Core Ultra 7 155U	3800	Tessaradeca-core	2	14	15.0	16140	Intel Arc 4-Cores iGPU (Integrada)	5149	16.0	3733	LPDDR5	1000	0	SSD	1	1
Gear Lotus A1417 - Dark Gray (N3350 / 4GB / 128GB SSD / W10H)	https://publicapi.solotodo.com/products/102265/	102265	gear-lotus-a1417-dark-gray-n3350-4gb-128gb-ssd-w10h	https://media.solotodo.com/media/products/1347413_picture_1617040073.jpg	290690	41	27	746	1356	0	Windows 10	14.0	1920x1080	60	38000	1347413	Intel Celeron N3350	1100	Dual-core	2	2	6.0	1202	Intel HD Graphics 500 (Integrada)	556	4.0	1600	DDR3L	128	0	SSD	1	1
Lenovo Legion Pro 5 16IRX8 [82WK000AUS]	https://publicapi.solotodo.com/products/224621/	224621	lenovo-legion-pro-5-16irx8-82wk000aus	https://media.solotodo.com/media/products/1818897_picture_1695442136.webp	1449990	546	661	267	2550	300	Windows 11	16.0	2560x1600	165	80000	1841977	Intel Core i7-13700HX	2100	1	8	24	55.0	33484	NVIDIA GeForce RTX 4060 (8 GB)	27681	16.0	4800	DDR5	512	0	SSD	1	2
HP ProBook 450 G8 [4S061LT]	https://publicapi.solotodo.com/products/132067/	132067	hp-probook-450-g8-4s061lt	https://media.solotodo.com/media/products/1387786_picture_1620648896.png	965990	185	131	409	1740	45	Windows 10	15.6	1366x768	60	45000	1544478	Intel Core i5-1135G7	2400	Octa-core	4	8	15.0	10142	Intel Iris Xe Graphics G7 80EUs (Integrada)	3816	8.0	3200	DDR4	256	0	SSD	1	1
Lenovo ThinkPad X1 Carbon [20QES0SK00]	https://publicapi.solotodo.com/products/69070/	69070	lenovo-thinkpad-x1-carbon-20qes0sk00	https://media.solotodo.com/media/products/495500_picture_1462754145.jpg	549990	187	92	680	1130	65	Windows 10	14.0	1920x1080	60	0	1018645	Intel Core i7-8565U	1800	Octa-core	4	8	15.0	6527	Intel UHD Graphics 620 (Integrada)	1024	16.0	2133	DDR3L	1000	0	SSD	1	1
ASUS TUF Dash F15 FX516PR-211.TM15	https://publicapi.solotodo.com/products/104618/	104618	asus-tuf-dash-f15-fx516pr-211tm15	https://media.solotodo.com/media/products/1360683_picture_1617724122.png	1799990	275	561	370	2000	200	Windows 10	15.6	1920x1080	240	76000	1360683	Intel Core i7-11370H	3300	Octa-core	4	8	35.0	13150	NVIDIA GeForce RTX 3070 (8 GB)	25136	16.0	3200	DDR4	1000	0	SSD	1	2
Apple MacBook Air A1466 (2017 / i5-5350U / 8 GB / 128 GB SSD / Silver) [MQD32CL/A]	https://publicapi.solotodo.com/products/177771/	177771	apple-macbook-air-a1466-2017-i5-5350u-8-gb-128-gb-ssd-silver-mqd32cla	https://media.solotodo.com/media/products/1336920_picture_1614699399.jpeg	389990	85	52	682	1350	45	macOS	13.3	1440x900	60	54000	1718291	Intel Core i5-5350U	1800	Quad-core	2	4	15.0	2667	Intel HD Graphics 6000 (Integrada)	951	8.0	1600	LPDDR3	128	0	SSD	1	1
Apple MacBook Pro 13 (2020 / i5-1038NG7 / 512 GB / 16 GB / Space Gray) [MWP42CI/A]	https://publicapi.solotodo.com/products/83882/	83882	apple-macbook-pro-13-2020-i5-1038ng7-512-gb-16-gb-space-gray-mwp42cia	https://media.solotodo.com/media/products/1202400_picture_1626119179.webp	1199990	232	136	575	1400	61	macOS	13.3	2560x1600	60	58200	1202400	Intel Core i5-1038NG7	2000	Octa-core	4	8	28.0	9907	Intel Iris Plus Graphics G7 (Integrada)	2787	16.0	3733	DDR3L	512	0	SSD	1	1
HP EliteBook 845 G8 [63A05LC]	https://publicapi.solotodo.com/products/130871/	130871	hp-elitebook-845-g8-63a05lc	https://media.solotodo.com/media/products/1535448_picture_1643730590.png	1236890	355	161	644	1370	0	Windows 10	14.0	1920x1080	60	53000	1535448	AMD Ryzen 7 5800U	1900	Hexadeca-core	8	16	15.0	19185	AMD Radeon RX Vega 8 (Integrada)	2335	16.0	3200	DDR4	512	0	SSD	1	1
Corsair Voyager A1600 [CN-9000004-NA]	https://publicapi.solotodo.com/products/252432/	252432	corsair-voyager-a1600-cn-9000004-na	https://media.solotodo.com/media/products/1942258_picture_1723013782.jpg	1399990	421	775	500	0	0	Windows 11	16.0	2560x1600	240	99000	1942258	AMD Ryzen 9 6900HS	3300	Hexadeca-core	8	16	35.0	24139	AMD Radeon RX 6800M (12 GB)	34596	16.0	3200	DDR4	2000	0	SSD	1	2
